sentence,pred_text,file
my throught is so sore,my hok is so sot,./recordings/1249120_29713479_39686519.wav
i've been feeling very sad lately,i have been feeling very saglav,./recordings/1249120_43453425_80035023.wav
i'm not hearing well i have problem with my ear,i'm not hearing well i have a promele with my ear,./recordings/1249120_42554554_86162662.wav
i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problem seeing things feel like a cloud on my eyes everything is blutry,./recordings/1249120_13842059_51065552.wav
i have a hair shortage,i have a hair shortage,./recordings/1249120_15004831_13536344.wav
when i walk up a flight of stairs my right knee hurts,when i walk upa plight of astairs my right knee holgs,./recordings/1249120_44093933_56620406.wav
the wound is still open,the old age steel open,./recordings/1249120_44323331_26408664.wav
i feel head ache,i feel haidach,./recordings/1249120_39438102_45260156.wav
i feel pain in my neck while i'm working,i sfeell pain in my neck while i'm working,./recordings/1249120_1853182_104613772.wav
severe pain in the ear,severe pan in the yard,./recordings/1249120_20518958_39810877.wav
my body aches on the inside between my hips and shoulders,my body aches on the in side wipin my hats and shoulders,./recordings/1249120_35444693_61506647.wav
my lower back hurts but it improves if i stretch it,my lower back hurts but it improves if i stretch it,./recordings/1249120_44220382_97217225.wav
my knee hurts when i walk,my knee hurts when i'm walk,./recordings/1249120_39438102_21408921.wav
i feel congestion in my chest,i feel conjestion in my chest,./recordings/1249120_43620482_87773863.wav
my chest break out with red pimples and whiteheads,my head wike ahump with rap pampi'm i ha,./recordings/1249120_44259428_55288440.wav
i don't do anything at home and still i feel exhausted,i don't do anything at home and still i feel exhausted,./recordings/1249120_22345789_43469530.wav
there is a sharp pain in my ear whenever i do this,there is a frap pain in my ear when ivere i do this,./recordings/1249120_43453425_79122255.wav
i have eruptions on my face that come and go,i have eruptions on my face that come and go,./recordings/1249120_2171654_104363236.wav
i feel a sharp pain in my head when i think too hard,i feel a sharp pain in my head when i think too hard,./recordings/1249120_43825820_24998638.wav
i have a pain in my stomach,i have a pain in my stomach,./recordings/1249120_2171654_64203995.wav
there is pain in the muscles i do not know caused,the ris pain in the muscles i do not know cost,./recordings/1249120_44188922_47265010.wav
glass broken and wound my leg badly the wound is so wide,glass broken and wound my leg badly the wound is so wide,./recordings/1249120_44093303_62497539.wav
i couldn't stop shaking or unclench my jaw that's how cold i was,i couldn't stop rekicking or unclench my jaw that's how a cold i was,./recordings/1249120_30766630_30649963.wav
every time i make an effort i felt dizzy,every time i neck and fot i felt dizzy,./recordings/1249120_35448024_103587684.wav
how do you know if you have a torn meniscus in your knee,how do you know if you have a ton meniscus in your knee,./recordings/1249120_43402738_41140670.wav
i think i sprained my ankle it really hurts,i think i spring in my ancle it rally hurts,./recordings/1249120_43995026_24246548.wav
i have tried to relief it but i can't,i have tried to relieve it but i can't,./recordings/1249120_36929821_79147299.wav
i wake up with a stiff neck every morning  massage helps but then a couple of days later it's back again,i wake up with a stiff neck every morning mysoch helps but in a couple of days later it's back again,./recordings/1249120_30766630_98579606.wav
my hand open wound got infected,my hig uppen wone would iv it,./recordings/1249120_33251186_96113819.wav
